Trial,PredatorSpeed,FID,AD,RewardLevel,ShockLevel,subject
1,1,74,26,2,1,CG000_ses-v1
2,2,55.7,71,2,1,CG000_ses-v1
3,2,75,74,2,1,CG000_ses-v1
4,1,64,20,2,1,CG000_ses-v1
5,1,50,15,2,1,CG000_ses-v1
6,2,71,49,2,1,CG000_ses-v1
7,1,62,16,2,2,CG000_ses-v1
8,2,52.76,65,2,2,CG000_ses-v1
9,2,45,56,2,2,CG000_ses-v1
10,1,35,23,2,2,CG000_ses-v1
11,2,45,70,2,2,CG000_ses-v1
12,1,45,24,2,2,CG000_ses-v1
13,1,45,29,0,0,CG000_ses-v1
14,1,45,14,0,0,CG000_ses-v1
15,1,45,18,0,0,CG000_ses-v1
16,2,64,60,0,0,CG000_ses-v1
17,2,45,71,0,0,CG000_ses-v1
18,2,45,74,0,0,CG000_ses-v1
19,2,45,62,1,1,CG000_ses-v1
20,1,45,24,1,1,CG000_ses-v1
21,2,45,73,1,1,CG000_ses-v1
22,2,45,68,1,1,CG000_ses-v1
23,1,45,9,1,1,CG000_ses-v1
24,1,45,21,1,1,CG000_ses-v1
25,1,45,19,1,2,CG000_ses-v1
26,2,45,72,1,2,CG000_ses-v1
27,1,45,17,1,2,CG000_ses-v1
28,2,45,72,1,2,CG000_ses-v1
29,1,45,23,1,2,CG000_ses-v1
30,2,45,62,1,2,CG000_ses-v1
31,2,70,62,2,1,CG000_ses-v1
32,2,45,69,2,1,CG000_ses-v1
33,1,79,26,2,1,CG000_ses-v1
34,2,45,74,2,1,CG000_ses-v1
35,1,45,13,2,1,CG000_ses-v1
36,1,77,19,2,1,CG000_ses-v1
37,1,45,19,2,2,CG000_ses-v1
38,2,45,58,2,2,CG000_ses-v1
39,2,45,63,2,2,CG000_ses-v1
40,1,45,11,2,2,CG000_ses-v1
41,1,31,9,2,2,CG000_ses-v1
42,2,45,65,2,2,CG000_ses-v1
43,2,45,66,0,0,CG000_ses-v1
44,1,45,22,0,0,CG000_ses-v1
45,2,45,56,0,0,CG000_ses-v1
46,2,45,68,0,0,CG000_ses-v1
47,1,45,28,0,0,CG000_ses-v1
48,1,55,26,0,0,CG000_ses-v1
49,1,45,18,1,2,CG000_ses-v1
50,1,45,29,1,2,CG000_ses-v1
51,2,45,56,1,2,CG000_ses-v1
52,2,45,65,1,2,CG000_ses-v1
53,2,45,61,1,2,CG000_ses-v1
54,1,45,23,1,2,CG000_ses-v1
55,1,45,19,1,1,CG000_ses-v1
56,2,45,62,1,1,CG000_ses-v1
57,1,45,20,1,1,CG000_ses-v1
58,1,45,18,1,1,CG000_ses-v1
59,2,45,74,1,1,CG000_ses-v1
60,2,45,61,1,1,CG000_ses-v1
61,1,32,24,0,0,CG000_ses-v1
62,2,45,73,0,0,CG000_ses-v1
63,2,77,61,0,0,CG000_ses-v1
64,2,45,58,0,0,CG000_ses-v1
65,1,77,23,0,0,CG000_ses-v1
66,1,45,22,0,0,CG000_ses-v1
67,1,45,14,1,2,CG000_ses-v1
68,2,45,56,1,2,CG000_ses-v1
69,2,45,61,1,2,CG000_ses-v1
70,2,45,68,1,2,CG000_ses-v1
71,1,45,17,1,2,CG000_ses-v1
72,1,45,15,1,2,CG000_ses-v1
73,2,45,62,2,1,CG000_ses-v1
74,1,25.94,29,2,1,CG000_ses-v1
75,2,77,68,2,1,CG000_ses-v1
76,1,45,26,2,1,CG000_ses-v1
77,1,45,23,2,1,CG000_ses-v1
78,2,45,71,2,1,CG000_ses-v1
79,1,45,23,2,2,CG000_ses-v1
80,2,45,60,2,2,CG000_ses-v1
81,1,45,15,2,2,CG000_ses-v1
82,1,45,25,2,2,CG000_ses-v1
83,2,45,66,2,2,CG000_ses-v1
84,2,45,65,2,2,CG000_ses-v1
85,1,45,23,1,1,CG000_ses-v1
86,1,45,30,1,1,CG000_ses-v1
87,2,45,73,1,1,CG000_ses-v1
88,2,45,61,1,1,CG000_ses-v1
89,2,45,71,1,1,CG000_ses-v1
90,1,76,24,1,1,CG000_ses-v1
91,2,45,62,0,0,CG000_ses-v1
92,1,45,20,0,0,CG000_ses-v1
93,1,64,33,0,0,CG000_ses-v1
94,2,45,66,0,0,CG000_ses-v1
95,2,45,63,0,0,CG000_ses-v1
96,1,38,19,0,0,CG000_ses-v1
97,2,71,66,2,2,CG000_ses-v1
98,1,45,22,2,2,CG000_ses-v1
99,1,45,20,2,2,CG000_ses-v1
100,2,45,65,2,2,CG000_ses-v1
101,2,45,65,2,2,CG000_ses-v1
102,1,45,18,2,2,CG000_ses-v1
103,1,45,18,2,1,CG000_ses-v1
104,1,45,19,2,1,CG000_ses-v1
105,2,45,60,2,1,CG000_ses-v1
106,2,45,59,2,1,CG000_ses-v1
107,2,45,66,2,1,CG000_ses-v1
108,1,45,10,2,1,CG000_ses-v1
109,1,45,21,1,1,CG000_ses-v1
110,2,45,63,1,1,CG000_ses-v1
111,2,45,58,1,1,CG000_ses-v1
112,1,45,12,1,1,CG000_ses-v1
113,1,45,18,1,1,CG000_ses-v1
114,2,45,49,1,1,CG000_ses-v1
115,2,45,62,1,2,CG000_ses-v1
116,1,45,21,1,2,CG000_ses-v1
117,2,45,65,1,2,CG000_ses-v1
118,1,54,28,1,2,CG000_ses-v1
119,2,45,70,1,2,CG000_ses-v1
120,1,45,17,1,2,CG000_ses-v1
